SAD, no,1, 1, 0.005620944096271696
SSD, no,1, 1, 0.006579770159665384
NCC, no,1, 1, 0.007330155774495226
SAD, yes,1, 1, 0.0006322693606436641
SSD, yes,1, 1, 0.0004238289120798188
NCC, yes,1, 1, 0.0004099328821755624
SAD, no,1, 2, 0.002126092575351222
SSD, no,1, 2, 0.002994594444367244
NCC, no,1, 2, 0.002202520739824632
SAD, yes,1, 2, 0.00034045273265428065
SSD, yes,1, 2, 0.0005766852410266387
NCC, yes,1, 2, 0.0005558411961702541
SAD, no,1, 5, 0.0009657740783458166
SSD, no,1, 5, 0.0008893459138724066
NCC, no,1, 5, 0.0021399886052554783
SAD, yes,1, 5, 0.0005697372260745105
SSD, yes,1, 5, 0.0008823978989202784
NCC, yes,1, 5, 0.0008337617942553812
SAD, no,2, 1, 0.011082083848644442
SSD, no,2, 1, 0.012867723691341384
NCC, no,2, 1, 0.014847907952697914
SAD, yes,2, 1, 0.0014382390950905327
SSD, yes,2, 1, 0.0008407098092075094
NCC, yes,2, 1, 0.000785125689590484
SAD, no,2, 2, 0.004620429943165237
SSD, no,2, 2, 0.0055792560065589265
NCC, no,2, 2, 0.004391145449745008
SAD, yes,2, 2, 0.0010283062129149703
SSD, yes,2, 2, 0.0013896029904256354
NCC, yes,2, 2, 0.000979670108250073
SAD, no,2, 5, 0.0023623250837235803
SSD, no,2, 5, 0.0017439517529841725
NCC, no,2, 5, 0.004022900657282214
SAD, yes,2, 5, 0.0019176521267873768
SSD, yes,2, 5, 0.001653627558606506
NCC, yes,2, 5, 0.0015077192446118143
SAD, no,3, 1, 0.0165710156608257
SSD, no,3, 1, 0.019183469282825896
NCC, no,3, 1, 0.022872865222405957
SAD, yes,3, 1, 0.0023692730986757085
SSD, yes,3, 1, 0.001604991453941609
NCC, yes,3, 1, 0.0014312910801384045
SAD, no,3, 2, 0.00697580701193669
SSD, no,3, 2, 0.008282033822936788
NCC, no,3, 2, 0.006600614204521768
SAD, yes,3, 2, 0.0016953156483192752
SSD, yes,3, 2, 0.0021816766949682475
NCC, yes,3, 2, 0.0017300557230799161
SAD, no,3, 5, 0.0030918666536970387
SSD, no,3, 5, 0.002480441337909759
NCC, no,3, 5, 0.006051721023303642
SAD, yes,3, 5, 0.00259160957714381
SSD, yes,3, 5, 0.002112196545446966
NCC, yes,3, 5, 0.0021399886052554783
